,year,ssp126,ssp245,ssp370,ssp585
62,2082,146.93471373848433,231.1514572949999,304.3898881286497,373.0558815607602
63,2083,137.4254679425711,238.81947934952603,297.10591778141634,364.5035677151368
64,2084,128.74147150227674,238.3754308995737,309.37947761552715,388.94382076766567
65,2085,142.61537483287546,225.60641848664508,320.15781531122013,380.08169340031384
66,2086,135.03758097715053,245.47738675630194,311.89567044842744,377.2306622222691
67,2087,129.9207975513463,234.05906832000778,311.45009581123537,377.4590166786145
68,2088,148.01259068176776,246.12019864578173,312.4760361779995,398.6573511333449
69,2089,134.40303893440503,230.95172974694958,316.2056323374846,401.01759948050403
70,2090,133.08747807502965,246.6158444805788,327.69745311925084,415.0477514925475
71,2091,137.89772393297497,247.26558474580955,351.19590831252134,421.2070322874682
72,2092,151.9276405323592,261.49712622064277,345.07916163406264,435.1939432583476
73,2093,145.09344105526694,261.14048257877164,339.2109612026677,438.81274487452686
74,2094,136.41109875001536,262.7735771909538,332.81020998756145,433.6872811678801
75,2095,139.62362083303964,245.42789634341864,358.5629542199487,436.9496768652882
76,2096,129.71181113296348,249.5753582821965,350.59105905667025,455.36646120932295
77,2097,131.62389066661075,237.80255535295848,351.84156998718373,443.485036429241
78,2098,132.61963839016246,250.44817088632584,354.2188240386187,449.84517530190215
79,2099,137.4175091302938,239.9201120639126,369.91452366529796,478.77816963223296
80,2100,131.38099738687873,255.27871083006826,367.6901300629166,467.45328168233135
